"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"351","0.2755681818181818","0.2755681818181818","0.2755681818181818"
"352","0.2747875354107649","0.2747875354107649","0.2747875354107649"
"353","0.2740112994350282","0.2740112994350282","0.2740112994350282"
"354","0.27323943661971833","0.27323943661971833","0.27323943661971833"
"355","0.27247191011235955","0.27247191011235955","0.27247191011235955"
"356","0.27170868347338933","0.27170868347338933","0.27170868347338933"
"357","0.2709497206703911","0.2709497206703911","0.2709497206703911"
"358","0.27019498607242337","0.27019498607242337","0.27019498607242337"
"359","0.26944444444444443","0.26944444444444443","0.26944444444444443"
"360","0.26869806094182824","0.26869806094182824","0.26869806094182824"
"361","0.26795580110497236","0.26795580110497236","0.26795580110497236"
"362","0.26721763085399447","0.26721763085399447","0.26721763085399447"
"363","0.2664835164835165","0.2664835164835165","0.2664835164835165"
"364","0.26575342465753427","0.26575342465753427","0.26575342465753427"
"365","0.2650273224043716","0.2650273224043716","0.2650273224043716"
"366","0.26430517711171664","0.26430517711171664","0.26430517711171664"
"367","0.26358695652173914","0.26358695652173914","0.26358695652173914"
"368","0.26287262872628725","0.26287262872628725","0.26287262872628725"
"369","0.26216216216216215","0.26216216216216215","0.26216216216216215"
"370","0.2641509433962264","0.2641509433962264","0.2641509433962264"
"371","0.26344086021505375","0.26344086021505375","0.26344086021505375"
"372","0.26273458445040215","0.26273458445040215","0.26273458445040215"
"373","0.2620320855614973","0.2620320855614973","0.2620320855614973"
"374","0.2613333333333333","0.2613333333333333","0.2613333333333333"
"375","0.26063829787234044","0.26063829787234044","0.26063829787234044"
"376","0.259946949602122","0.259946949602122","0.259946949602122"
"377","0.25925925925925924","0.25925925925925924","0.25925925925925924"
"378","0.25857519788918204","0.25857519788918204","0.25857519788918204"
"379","0.2578947368421053","0.2578947368421053","0.2578947368421053"
"380","0.2572178477690289","0.2572178477690289","0.2572178477690289"
"381","0.25654450261780104","0.25654450261780104","0.25654450261780104"
"382","0.2558746736292428","0.2558746736292428","0.2558746736292428"
"383","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"384","0.2545454545454545","0.2545454545454545","0.2545454545454545"
"385","0.2538860103626943","0.2538860103626943","0.2538860103626943"
"386","0.2558139534883721","0.2558139534883721","0.2558139534883721"
"387","0.2551546391752577","0.2551546391752577","0.2551546391752577"
"388","0.2544987146529563","0.2544987146529563","0.2544987146529563"
"389","0.25384615384615383","0.25384615384615383","0.25384615384615383"
"390","0.2557544757033248","0.2557544757033248","0.2557544757033248"
"391","0.25510204081632654","0.25510204081632654","0.25510204081632654"
"392","0.2544529262086514","0.2544529262086514","0.2544529262086514"
"393","0.2563451776649746","0.2563451776649746","0.2563451776649746"
"394","0.2582278481012658","0.2582278481012658","0.2582278481012658"
"395","0.25757575757575757","0.25757575757575757","0.25757575757575757"
"396","0.25692695214105793","0.25692695214105793","0.25692695214105793"
"397","0.2562814070351759","0.2562814070351759","0.2562814070351759"
"398","0.2581453634085213","0.2581453634085213","0.2581453634085213"
"399","0.2575","0.2575","0.2575"
"400","0.256857855361596","0.256857855361596","0.256857855361596"
"401","0.2562189054726368","0.2562189054726368","0.2562189054726368"
"402","0.2555831265508685","0.2555831265508685","0.2555831265508685"
"403","0.25495049504950495","0.25495049504950495","0.25495049504950495"
"404","0.254320987654321","0.254320987654321","0.254320987654321"
"405","0.2536945812807882","0.2536945812807882","0.2536945812807882"
"406","0.25307125307125306","0.25307125307125306","0.25307125307125306"
"407","0.25245098039215685","0.25245098039215685","0.25245098039215685"
"408","0.25183374083129584","0.25183374083129584","0.25183374083129584"
"409","0.25121951219512195","0.25121951219512195","0.25121951219512195"
"410","0.25304136253041365","0.25304136253041365","0.25304136253041365"
"411","0.2524271844660194","0.2524271844660194","0.2524271844660194"
"412","0.25181598062953997","0.25181598062953997","0.25181598062953997"
"413","0.25120772946859904","0.25120772946859904","0.25120772946859904"
"414","0.25060240963855424","0.25060240963855424","0.25060240963855424"
"415","0.25240384615384615","0.25240384615384615","0.25240384615384615"
"416","0.2517985611510791","0.2517985611510791","0.2517985611510791"
"417","0.2511961722488038","0.2511961722488038","0.2511961722488038"
"418","0.25059665871121717","0.25059665871121717","0.25059665871121717"
"419","0.25","0.25","0.25"
"420","0.2494061757719715","0.2494061757719715","0.2494061757719715"
"421","0.24881516587677724","0.24881516587677724","0.24881516587677724"
"422","0.25059101654846333","0.25059101654846333","0.25059101654846333"
"423","0.25","0.25","0.25"
"424","0.24941176470588236","0.24941176470588236","0.24941176470588236"
"425","0.2511737089201878","0.2511737089201878","0.2511737089201878"
"426","0.2505854800936768","0.2505854800936768","0.2505854800936768"
"427","0.2523364485981308","0.2523364485981308","0.2523364485981308"
"428","0.2517482517482518","0.2517482517482518","0.2517482517482518"
"429","0.25116279069767444","0.25116279069767444","0.25116279069767444"
"430","0.2505800464037123","0.2505800464037123","0.2505800464037123"
"431","0.25","0.25","0.25"
"432","0.24942263279445728","0.24942263279445728","0.24942263279445728"
"433","0.2488479262672811","0.2488479262672811","0.2488479262672811"
"434","0.25057471264367814","0.25057471264367814","0.25057471264367814"
"435","0.25229357798165136","0.25229357798165136","0.25229357798165136"
"436","0.2540045766590389","0.2540045766590389","0.2540045766590389"
"437","0.2557077625570776","0.2557077625570776","0.2557077625570776"
"438","0.255125284738041","0.255125284738041","0.255125284738041"
"439","0.25681818181818183","0.25681818181818183","0.25681818181818183"
"440","0.2562358276643991","0.2562358276643991","0.2562358276643991"
"441","0.25565610859728505","0.25565610859728505","0.25565610859728505"
"442","0.25733634311512416","0.25733634311512416","0.25733634311512416"
"443","0.25675675675675674","0.25675675675675674","0.25675675675675674"
"444","0.25617977528089886","0.25617977528089886","0.25617977528089886"
"445","0.257847533632287","0.257847533632287","0.257847533632287"
"446","0.2595078299776286","0.2595078299776286","0.2595078299776286"
"447","0.25892857142857145","0.25892857142857145","0.25892857142857145"
"448","0.2583518930957684","0.2583518930957684","0.2583518930957684"
"449","0.26","0.26","0.26"
"450","0.25942350332594233","0.25942350332594233","0.25942350332594233"
"451","0.2588495575221239","0.2588495575221239","0.2588495575221239"
